dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,3,8,attention,50.0,0.7,0.05,50.0,0.7950051426887512,False,fixed,,,,,,False,,,,,,12.0,113.0,0.7620000243186951,0.7490000128746033,92373.0,20.31481146812439
cora,3,8,attention,0.5,0.7,0.05,0.5,0.9151998162269592,False,fixed,,,,,,False,,,,,,131.0,200.0,0.7979999780654907,0.800000011920929,92373.0,36.318761587142944
cora,4,8,attention,50.0,0.7,0.05,50.0,0.27269840240478516,False,fixed,,,,,,False,,,,,,108.0,200.0,0.8019999861717224,0.7879999876022339,92373.0,36.50994086265564
cora,4,8,attention,0.5,0.7,0.05,0.5,0.9316068291664124,False,fixed,,,,,,False,,,,,,81.0,182.0,0.8199999928474426,0.8149999976158142,92373.0,33.014055252075195
cora,5,8,attention,50.0,0.7,0.05,50.0,0.2637087404727936,False,fixed,,,,,,False,,,,,,122.0,200.0,0.7559999823570251,0.7680000066757202,92373.0,37.94278287887573
cora,5,8,attention,0.5,0.7,0.05,0.5,0.9670011401176453,False,fixed,,,,,,False,,,,,,46.0,147.0,0.8019999861717224,0.8159999847412109,92373.0,27.335264205932617
cora,6,8,attention,0.5,0.7,0.05,0.5,0.9852375388145447,False,fixed,,,,,,False,,,,,,19.0,120.0,0.7919999957084656,0.8209999799728394,92373.0,22.56535768508911
cora,6,8,attention,50.0,0.7,0.05,50.0,0.26312461495399475,False,fixed,,,,,,False,,,,,,119.0,200.0,0.777999997138977,0.7860000133514404,92373.0,37.13333225250244
cora,7,8,attention,0.5,0.7,0.05,0.5,0.9674294590950012,False,fixed,,,,,,False,,,,,,41.0,142.0,0.7739999890327454,0.7829999923706055,92373.0,27.105456829071045
cora,7,8,attention,50.0,0.7,0.05,50.0,0.2501175105571747,False,fixed,,,,,,False,,,,,,161.0,200.0,0.7820000052452087,0.7879999876022339,92373.0,36.22895288467407
cora,8,8,attention,0.5,0.7,0.05,0.5,0.9738568067550659,False,fixed,,,,,,False,,,,,,23.0,124.0,0.8080000281333923,0.8080000281333923,92373.0,22.605340719223022
cora,9,8,attention,0.5,0.7,0.05,0.5,0.9695943593978882,False,fixed,,,,,,False,,,,,,41.0,142.0,0.8080000281333923,0.8299999833106995,92373.0,26.67998194694519
cora,8,8,attention,50.0,0.7,0.05,50.0,0.3004015386104584,False,fixed,,,,,,False,,,,,,79.0,180.0,0.7680000066757202,0.7710000276565552,92373.0,33.409825801849365
cora,0,8,attention,1.0,0.7,0.05,1.0,0.9697275757789612,False,fixed,,,,,,False,,,,,,29.0,130.0,0.8100000023841858,0.8100000023841858,92373.0,25.527609825134277
cora,9,8,attention,50.0,0.7,0.05,50.0,0.2457394152879715,False,fixed,,,,,,False,,,,,,172.0,200.0,0.8100000023841858,0.8069999814033508,92373.0,37.76969766616821
cora,1,8,attention,1.0,0.7,0.05,1.0,0.6904067993164062,False,fixed,,,,,,False,,,,,,191.0,200.0,0.7940000295639038,0.8029999732971191,92373.0,34.92741656303406
cora,2,8,attention,1.0,0.7,0.05,1.0,0.9523126482963562,False,fixed,,,,,,False,,,,,,48.0,149.0,0.8140000104904175,0.8230000138282776,92373.0,25.64738154411316
cora,3,8,attention,1.0,0.7,0.05,1.0,0.7892395257949829,False,fixed,,,,,,False,,,,,,132.0,200.0,0.8080000281333923,0.8009999990463257,92373.0,34.74051356315613
cora,4,8,attention,1.0,0.7,0.05,1.0,0.8614131808280945,False,fixed,,,,,,False,,,,,,90.0,191.0,0.8220000267028809,0.8159999847412109,92373.0,32.45740842819214
cora,5,8,attention,1.0,0.7,0.05,1.0,0.9383670687675476,False,fixed,,,,,,False,,,,,,54.0,155.0,0.8019999861717224,0.8180000185966492,92373.0,26.359405279159546
cora,6,8,attention,1.0,0.7,0.05,1.0,0.9825125336647034,False,fixed,,,,,,False,,,,,,18.0,119.0,0.7919999957084656,0.8259999752044678,92373.0,19.753154516220093
cora,7,8,attention,1.0,0.7,0.05,1.0,0.9551556706428528,False,fixed,,,,,,False,,,,,,37.0,138.0,0.7739999890327454,0.7720000147819519,92373.0,23.336096048355103
cora,8,8,attention,1.0,0.7,0.05,1.0,0.9701777100563049,False,fixed,,,,,,False,,,,,,22.0,123.0,0.8100000023841858,0.8080000281333923,92373.0,19.84036636352539
cora,9,8,attention,1.0,0.7,0.05,1.0,0.953432023525238,False,fixed,,,,,,False,,,,,,40.0,141.0,0.8080000281333923,0.8309999704360962,92373.0,20.203774452209473
